File Name,CC Value
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9924 4.png,93.68708565602167
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9925 2.png,92.72399015547576
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9925 4.png,92.72399015547576
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9926 2.png,91.70614088613841
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9926 4.png,91.70614088613841
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9927 2.png,85.69155092592592
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9927 4.png,85.69155092592592
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9928 2.png,90.31622679936171
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9928 4.png,90.31622679936171
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9929 2.png,94.9891443846057
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9929 4.png,94.9891443846057
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9930 2.png,94.65698847054253
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9930 4.png,94.65698847054253
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9931 2.png,90.2588813303099
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9931 4.png,90.2588813303099
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9932 2.png,90.61273043167884
./vignoles_output\Cluster-Closure-7-31-23\CR2\IMG_9932 4.png,90.61273043167884
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9882 2.png,93.31267518581507
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9882 4.png,93.31267518581507
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9883 2.png,89.83148863326194
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9883 4.png,89.83148863326194
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9884 4.png,89.30731725560594
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9884 2.png,89.30731725560594
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9885 2.png,82.99269698234232
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9885 4.png,82.99269698234232
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9886 2.png,93.2610134138532
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9886 4.png,93.2610134138532
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9887 2.png,91.20601655013857
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9887 4.png,91.20601655013857
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9888 2.png,86.92222307518686
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9888 4.png,86.92222307518686
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9889 4.png,92.32510616129169
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9889 2.png,92.32510616129169
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9890 2.png,87.01061973786427
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9890 4.png,87.01061973786427
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9891 2.png,85.46072557109264
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9891 4.png,85.46072557109264
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9892 2.png,85.73054945357774
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9892 4.png,85.73054945357774
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9893 2.png,80.78329711514235
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9893 4.png,80.78329711514235
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9894 2.png,77.87888689426387
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9894 4.png,77.87888689426387
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9895 2.png,93.74106847600152
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9895 4.png,93.74106847600152
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9896 2.png,90.64716887912573
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9896 4.png,90.64716887912573
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9897 2.png,92.40818819811875
./vignoles_output\Cluster-Closure-7-31-23\CR3\IMG_9897 4.png,92.40818819811875
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_0001 2.png,94.98963647959184
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9983 2 - Copy.png,100.0
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9981 4.png,100.0
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9984 4.png,99.73419489323507
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9985 2 - Copy.png,90.23615474353322
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9986 4.png,98.4519511894264
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9989 4.png,96.64402701667086
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9991 3.png,99.93804524124464
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9990 4.png,100.0
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9992 2 - Copy.png,98.94905734284455
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9993 2.png,94.09809979161417
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9994 4.png,89.85982510288066
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9995 2 - Copy.png,96.44535186759889
./vignoles_output\Cluster-Closure-7-31-23\ER1\IMG_9996 2 - Copy.png,92.71106446050642
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9949 2.png,97.52851854476359
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9949 4.png,97.52851854476359
./vignoles_output\Cluster-Closure-7-31-23\ER2\IMG_9950 2.png,99.73788560563113
